愛,アイ
先生,センセイ
戦争,センソウ
先祖,センゾ
洗濯,センタク
先だって,センダッテ
先達て,センダッテ
煽動,センドウ
船頭,センドウ
羨望,センボウ
先方,センポウ
先鋒,センポウ
専門,センモン
先夜,センヤ
占領,センリョウ
是,ゼ
勢,ゼイ
税,ゼイ
贅沢,ゼイタク
絶,ゼッ
絶景,ゼッケイ
絶交,ゼッコウ
銭,ゼニ
是非,ゼヒ
前,ゼン
膳,ゼン
善悪,ゼンアク
全校,ゼンコウ
全国,ゼンコク
前後,ゼンゴ
善後,ゼンゴ
全市,ゼンシ
全集,ゼンシュウ
禅宗,ゼンシュウ
前日,ゼンジツ
全速力,ゼンソクリョク
全体,ゼンタイ
前代未聞,ゼンダイミモン
前途,ゼント
前任,ゼンニン
善人,ゼンニン
前方,ゼンポウ
善良,ゼンリョウ
前列,ゼンレツ
そ,ソ
そいつ,ソイツ
そう,ソウ
僧,ソウ
奏,ソウ
相違,ソウイ
相応,ソウオウ
そうこう,ソウコウ
創痕,ソウコン
葬式,ソウシキ
掃除,ソウジ
漱石,ソウセキ
そうそう,ソウソウ
想像,ソウゾウ
相続,ソウゾク
総代,ソウダイ
相談,ソウダン
総長,ソウチョウ
掃蕩,ソウトウ
相当,ソウトウ
騒動,ソウドウ
相場,ソウバ
送別,ソウベツ
双方,ソウホウ
足,ソク
即座,ソクザ
即席,ソクセキ
速度,ソクド
側面,ソクメン
即夜,ソクヤ
そこ,ソコ
底,ソコ
帥,ソチ
そっち,ソッチ
卒中,ソッチュウ
率直,ソッチョク
そつ,ソツ
卒業,ソツギョウ
卒業生,ソツギョウセイ
袖,ソデ
外,ソト
その後,ソノゴ
その他,ソノタ
そば,ソバ
蕎麦,ソバ
蕎麦湯,ソバユ
粗暴,ソボウ
粗末,ソマツ
空,ソラ
そりゃ,ソリャ
それ,ソレ
それぞれ,ソレゾレ
揃い,ソロイ
そん,ソン
損,ソン
損害,ソンガイ
増給,ゾウキュウ
増長,ゾウチョウ
雑煮,ゾウニ
雑兵,ゾウヒョウ
増俸,ゾウホウ
続,ゾク
存知,ゾンチ
他,タ
多,タ
たい,タイ
鯛,タイ
大概,タイガイ
退却,タイキャク
退去,タイキョ
退屈,タイクツ
待遇,タイグウ
太鼓,タイコ
退校,タイコウ
隊伍,タイゴ
大将,タイショウ
退治,タイジ
大勢,タイセイ
大切,タイセツ
体操,タイソウ
大抵,タイテイ
大病,タイビョウ
大変,タイヘン
体面,タイメン
平,タイラ
沢庵,タクアン
たくさん,タクサン
巧,タクミ
巧み,タクミ
竹,タケ
他国,タコク
たしか,タシカ
畳,タタミ
ただ,タダ
多田,タダ
ただ今,タダイマ
多田満仲,タダノマンジュウ
たち,タチ
達,タチ
達者,タッシャ
竪,タテ
棚,タナ
他人,タニン
多人数,タニンズウ
狸,タヌキ
種,タネ
楽しみ,タノシミ
烟草,タバコ
たび,タビ
度,タビ
足袋,タビ
たま,タマ
珠,タマ
たまえ,タマエ
環,タマキ
卵,タマゴ
玉子,タマゴ
魂,タマシイ
ため,タメ
溜息,タメイキ
試し,タメシ
袂,タモト
たより,タヨリ
便り,タヨリ
頼り,タヨリ
多良,タラ
たれ,タレ
垂れ,タレ
たん,タン
単簡,タンカン
端渓,タンケイ
単語,タンゴ
短冊,タンザク
単純,タンジュン
探偵,タンテイ
単独,タンドク
淡泊,タンパク
たんび,タンビ
田圃,タンボ
胆力,タンリョク
ターナー,ターナー
打,ダ
だい,ダイ
代,ダイ
大,ダイ
太神楽,ダイカグラ
大学,ダイガク
大嫌い,ダイキライ
大工,ダイク
大事,ダイジ
大丈夫,ダイジョウブ
代数,ダイスウ
大好き,ダイスキ
大体,ダイタイ
代々,ダイダイ
大同小異,ダイドウショウイ
台所,ダイドコロ
大の字,ダイノジ
代筆,ダイヒツ
大仏,ダイブツ
ダイヤモンド,ダイヤモンド
代理,ダイリ
岳,ダケ
打撃,ダゲキ
太宰,ダザイ
出し,ダシ
立て,ダテ
駄目,ダメ
堕落,ダラク
だらけ,ダラケ
だらし,ダラシ
達磨,ダルマ
だれ,ダレ
誰,ダレ
暖,ダン
段,ダン
断言,ダンゲン
断行,ダンコウ
団子,ダンゴ
断食,ダンジキ
旦那,ダンナ
断念,ダンネン
談判,ダンパン
だんまり,ダンマリ
談話,ダンワ
ダーク,ダーク
ダース,ダース
地,チ
血,チ
智慧,チエ
近頃,チカゴロ
力,チカラ
力瘤,チカラコブ
力任せ,チカラマカセ
違い,チガイ
ちく,チク
畜生,チクショウ
筑摩書房,チクマショボウ
竹輪,チクワ
遅刻,チコク
知事,チジ
地図,チズ
乳,チチ
蟄居,チッキョ
地方,チホウ
地名,チメイ
茶,チャ
茶色,チャイロ
着手,チャクシュ
着席,チャクセキ
茶代,チャダイ
ちゃり,チャリ
茶碗,チャワン
ちゃん,チャン
中,チュウ
注,チュウ
虫,チュウ
注意,チュウイ
宙返り,チュウガエリ
中学,チュウガク
中学生,チュウガクセイ
中学校,チュウガッコウ
忠告,チュウコク
中止,チュウシ
中層,チュウソウ
躊躇,チュウチョ
中途,チュウト
中腹,チュウフク
注文,チュウモン
誅戮,チュウリク
丁,チョウ
喋,チョウ
調,チョウ
長,チョウ
懲役,チョウエキ
調子,チョウシ
頂戴,チョウダイ
打擲,チョウチャク
提灯,チョウチン
町内,チョウナイ
帳場,チョウバ
眺望,チョウボウ
帳面,チョウメン
猪口才,チョコザイ
直行,チョッコウ
縮緬,チリメン
珍,チン
珍事,チンジ
珍重,チンチョウ
跛,チンバ
陳列,チンレツ
っきり,ッキリ
っ子,ッコ
追,ツイ
ついで,ツイデ
通じ,ツウジ
杖,ツエ
疲れ,ツカレ
つき,ツキ
付き,ツキ
月,ツキ
月あかり,ツキアカリ
突き当り,ツキアタリ
次,ツギ
机,ツクエ
作りごと,ツクリゴト
つけ,ツケ
付け,ツケ
都合,ツゴウ
辻褄,ツジツマ
筒,ツツ
包,ツツミ
堤,ツツミ
続き,ツヅキ
つて,ツテ
綱,ツナ
常,ツネ
坪,ツボ
壺,ツボ
つま,ツマ
妻,ツマ
爪弾き,ツマビキ
つまり,ツマリ
罪,ツミ
錘,ツム
つもり,ツモリ
艶,ツヤ
剛,ツヨシ
釣,ツリ
釣り,ツリ
釣竿,ツリザオ
釣手,ツリテ
釣堀,ツリボリ
釣瓶,ツルベ
強者,ツワモノ
使い,ヅカイ
付,ヅケ
釣り,ヅリ
手,テ
手合,テアイ
低,テイ
鄭,テイ
帝国,テイコク
帝国ホテル,テイコクホテル
体裁,テイサイ
停車場,テイシャジョウ
亭主,テイシュ
程度,テイド
底本,テイホン
手紙,テガミ
手柄,テガラ
敵,テキ
的,テキ
手際,テギワ
手車,テグルマ
てこ,テコ
手数,テスウ
鉄拳,テッケン
鉄,テツ
手付,テツケ
手続き,テツヅキ
鉄面皮,テツメンピ
徹夜,テツヤ
手蔓,テヅル
手拭,テヌグイ
手の甲,テノコウ
手の平,テノヒラ
掌,テノヒラ
手前,テマエ
手廻し,テマワシ
手持無沙汰,テモチブサタ
寺,テラ
天,テン
店,テン
点,テン
天意,テンイ
天下,テンカ
天気,テンキ
天主,テンシュ
天井,テンジョウ
恬然,テンゼン
天地,テンチ
天誅,テンチュウ
天道,テントウ
顛倒,テントウ
転任,テンニン
天麩羅,テンプラ
顛末,テンマツ
天網,テンモウ
天目,テンモク
展覧,テンラン
テーブル,テーブル
出来,デキ
出来損ない,デキソコナイ
出鱈目,デタラメ
出直し,デナオシ
田楽,デンガク
電車,デンシャ
伝授,デンジュ
伝兵衛,デンベエ
戸,ト
都,ト
とい,トイ
問,トイ
党,トウ
島,トウ
当,トウ
等,トウ
冬瓜,トウガ
当該,トウガイ
陶器,トウキ
東京,トウキョウ
当局,トウキョク
統計,トウケイ
父様,トウサマ
東西,トウザイ
唐人,トウジン
頭数,トウスウ
当地,トウチ
到着,トウチャク
当直,トウチョク
滔々,トウトウ
唐茄子,トウナス
当人,トウニン
踏破,トウハ
豆腐,トウフ
当分,トウブン
唐変木,トウヘンボク
藤間,トウマ
当夜,トウヤ
登用,トウヨウ
逗留,トウリュウ
遠く,トオク
遠廻し,トオマワシ
遠山,トオヤマ
通り,トオリ
咎,トガ
とき,トキ
時,トキ
鬨の声,トキノコエ
とく,トク
得,トク
得意,トクイ
得意気,トクイゲ
得策,トクサク
特別,トクベツ
戸口,トグチ
時計,トケイ
床板,トコイタ
床の間,トコノマ
床柱,トコバシラ
ところ,トコロ
処,トコロ
所,トコロ
所々,トコロドコロ
土佐,トサ
年,トシ
年上,トシウエ
年嵩,トシカサ
図書館,トショカン
年寄,トシヨリ
杜絶,トゼツ
途端,トタン
土地,トチ
途中,トチュウ
徳化,トッカ
徳利,トックリ
特権,トッケン
とっさ,トッサ
隣,トナリ
泊り,トマリ
留め,トメ
とも,トモ
艫,トモ
友達,トモダチ
鳥,トリ
取り消し,トリケシ
取消,トリケシ
取締,トリシマリ
取次,トリツギ
頓着,トンジャク
頓珍漢,トンチンカン
問屋,トンヤ
ど,ド
度,ド
同,ドウ
同意,ドウイ
同級生,ドウキュウセイ
胴着,ドウギ
道具,ドウグ
同行,ドウコウ
同志,ドウシ
童子,ドウジ
同然,ドウゼン
道中,ドウチュウ
胴の間,ドウノマ
同輩,ドウハイ
胴間声,ドウマゴエ
同様,ドウヨウ
道楽,ドウラク
道理,ドウリ
同類,ドウルイ
通,ドオリ
通り,ドオリ
度胸,ドキョウ
毒,ドク
毒気,ドクケ
独立,ドクリツ
どこ,ドコ
どころ,ドコロ
どちら,ドチラ
どっか,ドッカ
どっち,ドッチ
土手,ドテ
どなた,ドナタ
土百姓,ドビャクショウ
度目,ドメ
共,ドモ
どれ,ドレ
泥,ドロ
泥棒,ドロボウ
どん,ドン
名,ナ
内所,ナイショ
ナイフ,ナイフ
直し,ナオシ
名折れ,ナオレ
なか,ナカ
中,ナカ
仲,ナカ
仲直り,ナカナオリ
半,ナカバ
半ば,ナカバ
仲間,ナカマ
仲間外れ,ナカマハズレ
流し,ナガシ
長持ち,ナガモチ
流れ,ナガレ
泣き寝入り,ナキネイリ
なじみ,ナジミ
馴染,ナジミ
謎,ナゾ
夏,ナツ
夏目,ナツメ
夏休み,ナツヤスミ
七,ナナ
斜め,ナナメ
なに,ナニ
何,ナニ
なにがし,ナニガシ
何くれ,ナニクレ
何事,ナニゴト
名乗り,ナノリ
鍋,ナベ
鍋焼,ナベヤキ
生,ナマ
生意気,ナマイキ
名前,ナマエ
鉛,ナマリ
並,ナミ
波,ナミ
浪,ナミ
並木,ナミキ
涙,ナミダ
菜飯,ナメシ
並び,ナラビ
なり,ナリ
縄,ナワ
なん,ナン
何,ナン
難,ナン
難儀,ナンギ
難癖,ナンクセ
難船,ナンセン
何とか,ナントカ
二,ニ
２,ニ
兄さん,ニイサン
二月,ニガツ
賑やか,ニギヤカ
逃げ,ニゲ
逃道,ニゲミチ
にこにこ,ニコニコ
二言,ニゴン
西,ニシ
西側,ニシガワ
西日,ニシビ
贋,ニセ
贋物,ニセモノ
二束三文,ニソクサンモン
日,ニチ
日間,ニチカン
ニッケル,ニッケル
日本,ニッポン
日本人,ニッポンジン
荷作り,ニヅクリ
二の腕,ニノウデ
荷物,ニモツ
入学,ニュウガク
入湯,ニュウトウ
入力,ニュウリョク
女房,ニョウボウ
庭,ニワ
人,ニン
任,ニン
人気,ニンキ
人形,ニンギョウ
人間,ニンゲン
人間並,ニンゲンナミ
人参,ニンジン
人数,ニンズウ
任地,ニンチ
人前,ニンマエ
抜き,ヌキ
抜身,ヌキミ
主,ヌシ
濡衣,ヌレギヌ
根方,ネカタ
猫,ネコ
猫足,ネコアシ
猫被り,ネコカブリ
寝言,ネゴト
寝小便,ネショウベン
鼠,ネズミ
熱心,ネッシン
熱,ネツ
熱度,ネツド
寝巻,ネマキ
眠気,ネムケ
練り,ネリ
年,ネン
念,ネン
年間,ネンカン
年中,ネンジュウ
年来,ネンライ
の,ノ
野,ノ
脳,ノウ
能弁,ノウベン
軒端,ノキバ
覗き,ノゾキ
望み,ノゾミ
のち,ノチ
後,ノチ
延岡,ノベオカ
蚤,ノミ
乗り気,ノリキ
祝詞,ノリト
暖簾,ノレン
呑気,ノンキ
刃,ハ
歯,ハ
葉,ハ
杯,ハイ
肺炎,ハイエン
ハイカラ,ハイカラ
俳句,ハイク
拝見,ハイケン
配達,ハイタツ
配布,ハイフ
はうら,ハウラ
羽織,ハオリ
墓,ハカ
博多,ハカタ
袴,ハカマ
脛,ハギ
萩野,ハギノ
拍,ハク
拍手,ハクシュ
白状,ハクジョウ
博物,ハクブツ
白墨,ハクボク
箱,ハコ
箱根,ハコネ
運び,ハコビ
はさ,ハサ
艀,ハシケ
柱,ハシラ
柱時計,ハシラドケイ
恥,ハジ
端,ハジ
始,ハジメ
始め,ハジメ
源,ハジメ
はず,ハズ
はずれ,ハズレ
はた,ハタ
傍,ハタ
旗,ハタ
畠,ハタケ
旗本,ハタモト
働き,ハタラキ
裸,ハダカ
破談,ハダン
八,ハチ
鉢,ハチ
発行,ハッコウ
発車,ハッシャ
発表,ハッピョウ
溌墨,ハツボク
果,ハテ
花,ハナ
鼻,ハナ
噺,ハナシ
話,ハナシ
話し相手,ハナシアイテ
話し声,ハナシゴエ
鼻柱,ハナバシラ
花火,ハナビ
跳ね,ハネ
母,ハハ
幅,ハバ
浜,ハマ
歯磨,ハミガキ
早足,ハヤアシ
早合点,ハヤガテン
破約,ハヤク
腹,ハラ
腹鼓,ハラツヅミ
腹の中,ハラノウチ
腹這い,ハラバイ
張,ハリ
針,ハリ
張番,ハリバン
はるか,ハルカ
遥か,ハルカ
破裂,ハレツ
半,ハン
範囲,ハンイ
ハンケチ,ハンケチ
半紙,ハンシ
半町,ハンジョウ
半切,ハンセツ
判然,ハンゼン
反対,ハンタイ
反動,ハンドウ
半日,ハンニチ
反応,ハンノウ
半々,ハンハン
反駁,ハンバク
半分,ハンブン
場合,バアイ
婆さん,バアサン
倍,バイ
売買,バイバイ
馬鹿,バカ
化物,バケモノ
箱,バコ
馬車,バシャ
場所,バショ
芭蕉,バショウ
罰,バチ
罰,バッ
罰金,バッキン
バッタ,バッタ
話,バナシ
婆,ババ
張り,バリ
晩,バン
番,バン
万国,バンコク
番号,バンゴウ
万歳,バンザイ
万事,バンジ
盤台,バンダイ
パイプ,パイプ
日,ヒ
火,ヒ
被,ヒ
非,ヒ
贔屓,ヒイキ
控,ヒカエ
比較,ヒカク
光,ヒカリ
東,ヒガシ
匹,ヒキ
引き,ヒキ
引上げ,ヒキアゲ
抽斗,ヒキダシ
卑怯,ヒキョウ
日暮,ヒグレ
髯,ヒゲ
膝,ヒザ
飛車,ヒシャ
肱,ヒジ
非常,ヒジョウ
ひそか,ヒソカ
ひだ,ヒダ
左,ヒダリ
筆法,ヒッポウ
必要,ヒツヨウ
ひと,ヒト
人,ヒト
人影,ヒトカゲ
一言,ヒトコト
人声,ヒトゴエ
人指しゆび,ヒトサシユビ
人指し指,ヒトサシユビ
人質,ヒトジチ
一筋,ヒトスジ
一つ,ヒトツ
人出,ヒトデ
人手,ヒトデ
ひと通り,ヒトトオリ
人中,ヒトナカ
人並,ヒトナミ
ひとり,ヒトリ
独り,ヒトリ
日向,ヒナタ
日の丸,ヒノマル
飛白,ヒハク
火鉢,ヒバチ
批評,ヒヒョウ
ひま,ヒマ
暇,ヒマ
隙,ヒマ
暇潰し,ヒマツブシ
秘密,ヒミツ
紐,ヒモ
百,ヒャク
百姓,ヒャクショウ
冷,ヒヤ
冷汗,ヒヤアセ
ヒュー,ヒュー
表,ヒョウ
評価,ヒョウカ
拍子,ヒョウシ
評判,ヒョウバン
豹変,ヒョウヘン
表面,ヒョウメン
平,ヒラ
平仮名,ヒラガナ
平手,ヒラテ
平屋,ヒラヤ
肥料,ヒリョウ
昼過ぎ,ヒルスギ
昼寝,ヒルネ
昼飯,ヒルメシ
比例,ヒレイ
卑劣,ヒレツ
尋,ヒロ
寛,ヒロシ
普,ヒロシ
広間,ヒロマ
品格,ヒンカク
品性,ヒンセイ
頻繁,ヒンパン
毘沙門,ビシャモン
美人,ビジン
秒,ビョウ
病気,ビョウキ
瓶,ビン
鬢,ビン
敏捷,ビンショウ
貧乏,ビンボウ
不,フ
歩,フ
符,フ
ファイル,ファイル
不意,フイ
吹聴,フイチョウ
風,フウ
風紀,フウキ
風儀,フウギ
風船,フウセン
風俗,フウゾク
夫婦,フウフ
風流,フウリュウ
笛,フエ
附加,フカ
附記,フキ
服,フク
福,フク
腹案,フクアン
袱紗,フクサ
服装,フクソウ
腹蔵,フクゾウ
服膺,フクヨウ
不見識,フケンシキ
不幸,フコウ
不公平,フコウヘイ
塞ぎ,フサギ
不賛成,フサンセイ
節,フシ
不仕合せ,フシアワセ
不思議,フシギ
負傷,フショウ
不審,フシン
不信任,フシンニン
不順,フジュン
不浄,フジョウ
婦人,フジン
襖,フスマ
不足,フソク
ふた,フタ
蓋,フタ
二つ,フタツ
不都合,フツゴウ
不貞,フテイ
不手際,フテギワ
筆,フデ
不徳,フトク
懐,フトコロ
懐手,フトコロデ
布団,フトン
蒲団,フトン
鮒,フナ
船端,フナバタ
船縁,フナベリ
赴任,フニン
不人情,フニンジョウ
腑抜け,フヌケ
舟,フネ
船,フネ
不平,フヘイ
不便,フベン
不面目,フメンボク
不行届,フユキトドキ
不用,フヨウ
不用意,フヨウイ
不埒,フラチ
フランネル,フランネル
振り,フリ
不利益,フリエキ
風流,フリュウ
古池,フルイケ
古川,フルカワ
振舞,フルマイ
古町,フルマチ
布令,フレイ
風呂,フロ
フロック,フロック
フロント,フロント
ふん,フン
分,フン
奮然,フンゼン
憤然,フンゼン
奮発,フンパツ
分別,フンベツ
無愛想,ブアイソウ
武士,ブシ
節,ブシ
無事,ブジ
豚,ブタ
舞台,ブタイ
物質,ブッシツ
物騒,ブッソウ
物,ブツ
物理,ブツリ
樗,ブナ
部分,ブブン
無頼漢,ブライカン
ぶらんこ,ブランコ
無礼,ブレイ
分,ブン
分界,ブンカイ
文学,ブンガク
文庫,ブンコ
文章,ブンショウ
プラットフォーム,プラットフォーム
舳,ヘ
塀,ヘイ
兵営,ヘイエイ
平気,ヘイキ
閉口,ヘイコウ
平常,ヘイジョウ
平成,ヘイセイ
弊風,ヘイフウ
辟易,ヘキエキ
僻遠,ヘキエン
下手,ヘタ
部屋,ヘヤ
箆,ヘラ
減らず口,ヘラズグチ
へん,ヘン
変,ヘン
遍,ヘン
返却,ヘンキャク
返事,ヘンジ
返電,ヘンデン
返報,ヘンポウ
返礼,ヘンレイ
米,ベイ
べた一面,ベタイチメン
べっかんこう,ベッカンコウ
別室,ベッシツ
別嬪,ベッピン
べつ,ベツ
別,ベツ
別段,ベツダン
べら,ベラ
篦棒,ベラボウ
べらんめえ,ベランメエ
弁解,ベンカイ
勉強,ベンキョウ
弁口,ベンコウ
弁護,ベンゴ
便所,ベンジョ
弁舌,ベンゼツ
ベンチ,ベンチ
弁当,ベントウ
便利,ベンリ
弁論,ベンロン
ペテン師,ペテンシ
頁,ページ
歩,ホ
ほう,ホウ
方,ホウ
法,ホウ
放課後,ホウカゴ
法外,ホウガイ
方角,ホウガク
箒,ホウキ
俸給,ホウキュウ
封建,ホウケン
奉公,ホウコウ
方向,ホウコウ
報知,ホウチ
放免,ホウメン
方面,ホウメン
法律,ホウリツ
頬,ホオ
頬骨,ホオボネ
ほか,ホカ
ほこり,ホコリ
保護,ホゴ
反古,ホゴ
星明り,ホシアカリ
臍,ホゾ
発句,ホック
堀田,ホッタ
発議,ホツギ
骨,ホネ
法螺,ホラ
法螺吹き,ホラフキ
堀田,ホリタ
ほん,ホン
本,ホン
本県,ホンケン
本筋,ホンスジ
本当,ホントウ
本人,ホンニン
本場,ホンバ
本門寺,ホンモンジ
本来,ホンライ
翻弄,ホンロウ
簿,ボ
某,ボウ
棒,ボウ
防,ボウ
暴行,ボウコウ
帽子,ボウシ
某氏,ボウシ
坊主,ボウズ
茫然,ボウゼン
膨張,ボウチョウ
冒頭,ボウトウ
暴慢,ボウマン
僕,ボク
樸直,ボクチョク
朴念仁,ボクネンジン
募集,ボシュウ
坊っちゃん,ボッチャン
ぼや,ボヤ
ボランティア,ボランティア
ぼん,ボン
盆,ボン
ぼんやり,ボンヤリ
ぽか,ポカ
間,マ
魔,マ
まあ,マア
枚,マイ
迷子,マイゴ
毎月,マイツキ
毎年,マイトシ
毎日,マイニチ
毎晩,マイバン
前,マエ
間男,マオトコ
賄,マカナイ
曲り,マガリ
曲がり角,マガリカド
曲り角,マガリカド
巻,マキ
巻紙,マキガミ
枕,マクラ
枕元,マクラモト
鮪,マグロ
負,マケ
負け,マケ
負け惜しみ,マケオシミ
負け嫌い,マケギライ
実しやか,マコトシヤカ
真心,マゴコロ
まし,マシ
真面目,マジメ
枡,マス
股,マタ
又五郎,マタゴロウ
待,マチ
町,マチ
街,マチ
間違い,マチガイ
町並,マチナミ
町はずれ,マチハズレ
真っ,マッ
真赤,マッカ
真黒,マックロ
真最中,マッサイチュウ
真逆様,マッサカサマ
真先,マッサキ
真正面,マッショウメン
真直,マッスグ
マッチ,マッチ
真っ裸,マッパダカ
松,マツ
末座,マツザ
祭り,マツリ
まとも,マトモ
窓,マド
マドンナ,マドンナ
真似,マネ
麻布,マフ
瞼,マブタ
まま,ママ
丸,マル
丸木,マルキ
丸の内,マルノウチ
丸裸,マルハダカ
廻り,マワリ
万,マン
満足,マンゾク
真中,マンナカ
み,ミ
味,ミ
実,ミ
身,ミ
身動き,ミウゴキ
見え,ミエ
見送り,ミオクリ
花崗,ミカゲ
御影石,ミカゲイシ
味方,ミカタ
三河,ミカワ
蜜柑,ミカン
幹,ミキ
右,ミギ
右側,ミギガワ
右左,ミギヒダリ
眉間,ミケン
尊,ミコト
操,ミサオ
水,ミズ
水飴,ミズアメ
自ら,ミズカラ
水際,ミズギワ
水気,ミズケ
見世物,ミセモノ
乱れ,ミダレ
路,ミチ
道,ミチ
道幅,ミチハバ
三つ,ミッツ
満家,ミツイエ
みな,ミナ
皆,ミナ
皆さん,ミナサン
港,ミナト
南,ミナミ
源,ミナモト
身の上,ミノウエ
身分,ミブン
三股,ミマタ
耳,ミミ
宮崎,ミヤザキ
宮芝居,ミヤシバイ
妙,ミョウ
明後日,ミョウゴニチ
未来,ミライ
民,ミン
みんな,ミンナ
無,ム
無位,ムイ
無意識,ムイシキ
向,ムカイ
昔,ムカシ
無冠,ムカン
向き,ムキ
向,ムコウ
向う,ムコウ
向こう,ムコウ
向う側,ムコウガワ
虫,ムシ
無邪気,ムジャキ
無人島,ムジントウ
無責任,ムセキニン
無駄,ムダ
無茶苦茶,ムチャクチャ
夢中,ムチュウ
六つ,ムッツ
無鉄砲,ムテッポウ
無頓着,ムトンジャク
胸糞,ムナクソ
胸,ムネ
無法,ムホウ
無闇,ムヤミ
村,ムラ
紫,ムラサキ
紫色,ムラサキイロ
無理,ムリ
め,メ
目,メ
眼,メ
芽,メ
めい,メイ
名,メイ
明言,メイゲン
名刺,メイシ
明治,メイジ
明白,メイハク
めいめい,メイメイ
明々白々,メイメイハクハク
名誉,メイヨ
明瞭,メイリョウ
命令,メイレイ
迷惑,メイワク
恵,メグミ
巡り,メグリ
めし,メシ
飯,メシ
めった,メッタ
めん,メン
免,メン
面,メン
面会,メンカイ
面詰,メンキツ
免職,メンショク
面前,メンゼン
面倒,メンドウ
儲け,モウケ
申し出,モウシデ
申し訳,モウシワケ
孟宗,モウソウ
毛筆,モウヒツ
毛布,モウフ
目標,モクヒョウ
文字,モジ
もち,モチ
持主,モチヌシ
持前,モチマエ
もっての外,モッテノホカ
もっとも,モットモ
もと,モト
下,モト
元,モト
求め,モトメ
戻り,モドリ
もの,モノ
物,モノ
者,モノ
物覚え,モノオボエ
模範,モハン
模様,モヨウ
森,モリ
盛,モリ
もん,モン
門,モン
文句,モンク
問題,モンダイ
紋付,モンツキ
問答,モンドウ
や,ヤ
屋,ヤ
灸,ヤイト
やおや,ヤオヤ
焼,ヤキ
焼餅,ヤキモチ
焼物,ヤキモノ
役,ヤク
訳,ヤク
役者,ヤクシャ
役所,ヤクショ
約束,ヤクソク
薬味,ヤクミ
夜具,ヤグ
やご,ヤゴ
屋号,ヤゴウ
矢先,ヤサキ
屋敷,ヤシキ
安,ヤス
寧,ヤスシ
休み,ヤスミ
屋台,ヤタイ
夜中,ヤチュウ
家賃,ヤチン
厄介,ヤッカイ
やっこ,ヤッコ
奴,ヤッコ
八つ,ヤッツ
奴,ヤツ
奴等,ヤツラ
宿,ヤド
宿屋,ヤドヤ
柳,ヤナギ
柳沢,ヤナギサワ
屋根,ヤネ
八幡,ヤハタ
野蛮,ヤバン
野卑,ヤヒ
破れ,ヤブレ
山,ヤマ
山嵐,ヤマアラシ
山城,ヤマシロ
やめ,ヤメ
やり方,ヤリカタ
野郎,ヤロウ
湯,ユ
由緒,ユイショ
有,ユウ
遊廓,ユウカク
夕方,ユウガタ
勇気,ユウキ
夕食,ユウショク
融通,ユウズウ
悠長,ユウチョウ
郵便,ユウビン
ゆうべ,ユウベ
夕べ,ユウベ
有望,ユウボウ
有名,ユウメイ
床,ユカ
愉快,ユカイ
浴衣,ユカタ
往き,ユキ
行く先,ユクサキ
行手,ユクテ
湯島,ユシマ
湯銭,ユセン
温,ユタカ
豊か,ユタカ
油断,ユダン
指,ユビ
夢,ユメ
湯屋,ユヤ
揺,ユラ
世,ヨ
余,ヨ
夜遊び,ヨアソビ
宵,ヨイ
宵の口,ヨイノクチ
よう,ヨウ
様,ヨウ
洋,ヨウ
用,ヨウ
養,ヨウ
容易,ヨウイ
用意,ヨウイ
容喙,ヨウカイ
陽気,ヨウキ
要撃,ヨウゲキ
楊子,ヨウジ
用事,ヨウジ
用心,ヨウジン
容子,ヨウス
様子,ヨウス
養成,ヨウセイ
用達,ヨウタシ
洋服,ヨウフク
要領,ヨウリョウ
余興,ヨキョウ
欲,ヨク
翌日,ヨクジツ
欲張り,ヨクバリ
余計,ヨケイ
横,ヨコ
横っ面,ヨコッツラ
横付け,ヨコヅケ
横取り,ヨコドリ
芳秋,ヨシアキ
吉川,ヨシカワ
葭簀,ヨシズ
四畳半,ヨジョウハン
よそ,ヨソ
余所,ヨソ
余地,ヨチ
四つ,ヨッツ
四つ角,ヨツカド
余念,ヨネン
世の中,ヨノナカ
呼ばわり,ヨバワリ
夜番,ヨバン
余分,ヨブン
読み書き,ヨミカキ
嫁,ヨメ
寄り,ヨリ
夜,ヨル
弱虫,ヨワムシ
四,ヨン
ら,ラ
らい,ライ
来,ライ
来客,ライキャク
来月,ライゲツ
来年,ライネン
磊落,ライラク
来歴,ライレキ
らく,ラク
楽,ラク
落款,ラッカン
喇叭,ラッパ
らん,ラン
乱雑,ランザツ
ランプ,ランプ
乱暴,ランボウ
利,リ
利益,リエキ
りか,リカ
陸,リク
陸海,リクカイ
理屈,リクツ
理窟,リクツ
利口,リコウ
履行,リコウ
立身出世,リッシンシュッセ
立派,リッパ
理非,リヒ
リボン,リボン
略,リャク
流,リュウ
溜飲,リュウイン
留任,リュウニン
理由,リユウ
両,リョウ
料,リョウ
猟,リョウ
良,リョウ
両足,リョウアシ
凌雲,リョウウン
両側,リョウガワ
両君,リョウクン
了見,リョウケン
両手,リョウテ
両人,リョウニン
領分,リョウブン
両方,リョウホウ
良友,リョウユウ
料理,リョウリ
両立,リョウリツ
力,リョク
旅団,リョダン
旅費,リョヒ
履歴,リレキ
厘,リン
鈴,リン
倫理,リンリ
るい,ルイ
留守,ルス
留守番,ルスバン
例,レイ
礼,レイ
例外,レイガイ
礼儀,レイギ
例刻,レイコク
冷然,レイゼン
零落,レイラク
歴史,レキシ
劣等,レットウ
列,レツ
聯隊,レンタイ
連中,レンチュウ
