愛,アイ
落度,オチド
お茶,オチャ
おっかさん,オッカサン
乙,オツ
お寺,オテラ
お転婆,オテンバ
音,オト
お父さん,オトウサン
弟,オトウト
男,オトコ
一昨日,オトトイ
驚,オドロキ
お腹,オナカ
鬼瓦,オニガワラ
お話,オハナシ
お話し,オハナシ
お婆さん,オバアサン
帯,オビ
小日向,オビナタ
お袋,オフクロ
覚え,オボエ
お前,オマエ
お松,オマツ
お祭り,オマツリ
思い,オモイ
思い切り,オモイキリ
面白,オモシロ
表向き,オモテムキ
重み,オモミ
趣,オモムキ
お貰い,オモライ
親,オヤ
親方,オヤカタ
親子,オヤコ
おやじ,オヤジ
親父,オヤジ
親不孝,オヤフコウ
親譲り,オヤユズリ
親指,オヤユビ
お湯,オユ
折戸,オリド
おれ,オレ
俺,オレ
折合,オレアイ
お礼,オレイ
愚か,オロカ
終,オワリ
終り,オワリ
恩,オン
音,オン
遠国,オンゴク
温順,オンジュン
温泉,オンセン
女,オンナ
女形,オンナガタ
穏便,オンビン
温良,オンリョウ
下,カ
化,カ
可,カ
家,カ
蚊,カ
過,カ
母さん,カアサン
かい,カイ
会,カイ
甲斐,カイ
界,カイ
階,カイ
開会,カイカイ
会議,カイギ
開業,カイギョウ
会見,カイケン
会社,カイシャ
解釈,カイシャク
会場,カイジョウ
懐中,カイチュウ
廻転,カイテン
海浜,カイヒン
怪物,カイブツ
快楽,カイラク
楓,カエデ
帰り,カエリ
帰りがけ,カエリガケ
蛙,カエル
顔,カオ
顔色,カオイロ
家屋,カオク
顔つき,カオツキ
踵,カカト
鏡,カガミ
垣,カキ
垣根,カキネ
課業,カギョウ
かぎり,カギリ
限り,カギリ
格,カク
角,カク
覚悟,カクゴ
隠し芸,カクシゲイ
格別,カクベツ
角屋,カクヤ
隠れ,カクレ
神楽,カグラ
神楽坂,カグラザカ
掛,カケ
掛声,カケゴエ
掛物,カケモノ
影,カゲ
蔭,カゲ
陰,カゲ
ヶ月,カゲツ
花月,カゲツ
影法師,カゲボウシ
加減,カゲン
囲い,カコイ
傘,カサ
華山,カザン
菓子,カシ
貸し,カシ
かしこ,カシコ
過失,カシツ
カ所,カショ
ヶ所,カショ
箇所,カショ
かしら,カシラ
柏寺,カシワデラ
火事,カジ
鍛冶屋,カジヤ
ヶ条,カジョウ
数,カズ
葛,カズラ
加勢,カセイ
風,カゼ
風邪,カゼ
下層,カソウ
方,カタ
片,カタ
肩,カタ
片仮名,カタカナ
かたがた,カタガタ
方々,カタガタ
かたち,カタチ
刀,カタナ
塊,カタマリ
語,カタリ
価値,カチ
勝,カチ
勝ち,カチ
花鳥,カチョウ
活気,カッキ
活計,カッケイ
恰好,カッコウ
勝手,カッテ
勝手次第,カッテシダイ
活版,カッパン
かっぽ,カッポ
鰹,カツオ
活眼,カツガン
活字,カツジ
仮定,カテイ
家庭,カテイ
下等,カトウ
門口,カドグチ
かね,カネ
蒲,カバ
鞄,カバン
株,カブ
甲,カブト
壁,カベ
壁際,カベギワ
鎌倉,カマクラ
蒲鉾,カマボコ
かみさん,カミサン
上山,カミノヤマ
髪結床,カミユイドコ
加盟,カメイ
蚊帳,カヤ
通,カヨイ
辛,カラシ
烏,カラス
体,カラダ
仮り,カリ
借り,カリ
刈,カリ
軽石,カルイシ
彼,カレ
彼等,カレラ
家老,カロウ
川,カワ
皮,カワ
革,カワ
河合,カワイ
可哀想,カワイソウ
為替,カワセ
川村,カワムラ
瓦,カワラ
代り,カワリ
変り,カワリ
勘,カン
燗,カン
疳,カン
癇,カン
肝,カン
間,カン
館,カン
感化,カンカ
間隔,カンカク
考え,カンガエ
考え物,カンガエモノ
漢学,カンガク
喚起,カンキ
関係,カンケイ
歓迎,カンゲイ
漢語,カンゴ
感謝,カンシャ
感心,カンシン
幹事,カンジ
感じ,カンジ
勘定,カンジョウ
かんじん,カンジン
閑静,カンセイ
関節,カンセツ
款待,カンタイ
勘太郎,カンタロウ
簡単,カンタン
神田,カンダ
寛大,カンダイ
寒暖計,カンダンケイ
監督,カントク
勘当,カンドウ
観念,カンネン
観音,カンノン
看板,カンバン
看病,カンビョウ
干瓢,カンピョウ
奸物,カンブツ
勘弁,カンベン
簡便,カンベン
感銘,カンメイ
勧誘,カンユウ
寛容,カンヨウ
画,ガ
害,ガイ
買,ガイ
外出,ガイシュツ
剴切,ガイセツ
外聞,ガイブン
返し,ガエシ
顔,ガオ
瓦解,ガカイ
がき,ガキ
書き,ガキ
学,ガク
額,ガク
学士,ガクシ
学資,ガクシ
学問,ガクモン
がけ,ガケ
瓦斯,ガス
がた,ガタ
学校,ガッコウ
合併,ガッペイ
合点,ガテン
構え,ガマエ
蝦蟇口,ガマグチ
我慢,ガマン
がらがら,ガラガラ
硝子,ガラス
側,ガワ
がん,ガン
頑固,ガンコ
元来,ガンライ
奇,キ
木,キ
気,キ
黄,キ
紀伊,キイ
黄色,キイロ
幾何,キカ
機会,キカイ
利目,キキメ
危惧,キグ
危険,キケン
機嫌,キゲン
気候,キコウ
貴様,キサマ
岸,キシ
汽車,キシャ
寄宿,キシュク
寄宿舎,キシュクシャ
気性,キショウ
記事,キジ
鬼神,キジン
傷,キズ
汽船,キセン
規則,キソク
毀損,キソン
きた,キタ
北,キタ
北側,キタガワ
気狂い,キチガイ
気違い,キチガイ
切符,キップ
狐,キツネ
詰問,キツモン
気遣い,キヅカイ
汽笛,キテキ
気長,キナガ
絹,キヌ
きのう,キノウ
昨日,キノウ
気の毒,キノドク
気風,キフウ
希望,キボウ
極り,キマリ
きみ,キミ
君,キミ
気味,キミ
金,キム
着物,キモノ
客,キャク
脚,キャク
華奢,キャシャ
九,キュウ
急,キュウ
級,キュウ
給,キュウ
窮屈,キュウクツ
九州,キュウシュウ
急所,キュウショ
給仕,キュウジ
居,キョ
今日,キョウ
供,キョウ
狂,キョウ
教育,キョウイク
教員,キョウイン
恐悦,キョウエツ
教師,キョウシ
教室,キョウシツ
恐縮,キョウシュク
教授,キョウジュ
