雷山,イカズチヤマ
いかり,イカリ
怒り,イカリ
いかん,イカン
偉観,イカン
遺憾,イカン
いが,イガ
以外,イガイ
意外,イガイ
遺骸,イガイ
医学,イガク
医学部,イガクブ
いがぐり,イガグリ
毬栗,イガグリ
いき,イキ
意気,イキ
行き,イキ
遺棄,イキ
行き当り,イキアタリ
生きうつし,イキウツシ
生き写し,イキウツシ
勢い,イキオイ
行き方,イキカタ
生き甲斐,イキガイ
意気組み,イキグミ
いきさつ,イキサツ
行き詰まり,イキヅマリ
息抜き,イキヌキ
医局,イキョク
生霊,イキリョウ
威儀,イギ
意義,イギ
異形,イギョウ
イギリス,イギリス
いく,イク
いくじ,イクジ
意気地,イクジ
幾多,イクタ
いくつ,イクツ
幾つ,イクツ
幾度,イクド
幾日,イクニチ
幾分,イクブン
幾夜,イクヨ
いくら,イクラ
イクラ,イクラ
幾ら,イクラ
い草,イグサ
畏敬,イケイ
意見,イケン
威厳,イゲン
威光,イコウ
遺稿,イコウ
遺骨,イコツ
遺恨,イコン
以後,イゴ
いさ,イサ
委細,イサイ
偉材,イザイ
いし,イシ
医師,イシ
意志,イシ
縊死,イシ
遺子,イシ
遺志,イシ
石頭,イシアタマ
石川,イシカワ
石垣,イシガキ
意識,イシキ
石切,イシキリ
石切場,イシキリバ
石塊,イシクレ
いしゃ,イシャ
医者,イシャ
意趣,イシュ
いしゅう,イシュウ
萎縮,イシュク
遺書,イショ
意匠,イショウ
衣裳,イショウ
維新,イシン
意地,イジ
いじめ,イジメ
医術,イジュツ
以上,イジョウ
異常,イジョウ
異状,イジョウ
偉丈夫,イジョウフ
偉人,イジン
いす,イス
椅子,イス
いずれ,イズレ
伊勢,イセ
威勢,イセイ
異性,イセイ
遺跡,イセキ
以前,イゼン
いそ,イソ
意想外,イソウガイ
急ぎ,イソギ
急ぎ足,イソギアシ
イソギンチャク,イソギンチャク
遺族,イゾク
委託,イタク
いた事,イタコト
致し方,イタシカタ
致方,イタシカタ
いたずら,イタズラ
イタズラ,イタズラ
悪戯,イタズラ
板戸,イタド
板の間,イタノマ
板張,イタバリ
板張り,イタバリ
痛み,イタミ
異端,イタン
偉大,イダイ
いち,イチ
位置,イチ
一宇,イチウ
市川,イチカワ
一概,イチガイ
一眼,イチガン
一隅,イチグウ
一撃,イチゲキ
一言,イチゲン
いちご,イチゴ
一語,イチゴ
一座,イチザ
一事,イチジ
一時,イチジ
一軸,イチジク
一場,イチジョウ
一存,イチゾン
一代,イチダイ
一大,イチダイ
一大事,イチダイジ
一団,イチダン
一段,イチダン
一段落,イチダンラク
一同,イチドウ
一任,イチニン
一念,イチネン
一番,イチバン
一部,イチブ
一分一厘,イチブイチリン
一部分,イチブブン
一文,イチブン
いちべつ,イチベツ
一瞥,イチベツ
一味,イチミ
一目,イチモク
一目瞭然,イチモクリョウゼン
一夜,イチヤ
いちょう,イチョウ
一様,イチヨウ
一葉,イチヨウ
一覧,イチラン
一流,イチリュウ
一礼,イチレイ
いちろう,イチロウ
一郎,イチロウ
いっか,イッカ
一家,イッカ
一角,イッカク
一貫,イッカン
いっき,イッキ
一基,イッキ
一気,イッキ
一気呵成,イッキカセイ
一挙,イッキョ
一挙一動,イッキョイチドウ
一挙手一投足,イッキョシュイットウソク
一句,イック
飯喰,イックイ
一間,イッケン
一行,イッコウ
一刻,イッコク
一個人,イッコジン
一切,イッサイ
一昨年,イッサクネン
一殺多生,イッサツタショウ
一散,イッサン
一糸,イッシ
一瀉千里,イッシャセンリ
一種,イッシュ
一周,イッシュウ
一瞬,イッシュン
いっしょ,イッショ
一所,イッショ
一緒,イッショ
一生,イッショウ
一笑,イッショウ
一所懸命,イッショケンメイ
一心,イッシン
一身,イッシン
一神教,イッシンキョウ
一身上,イッシンジョウ
一心不乱,イッシンフラン
いっすい,イッスイ
一寸,イッスン
一寸法師,イッスンボウシ
一声,イッセイ
一斉,イッセイ
一節,イッセツ
一掃,イッソウ
一体,イッタイ
一端,イッタン
一致,イッチ
一朝,イッチョウ
一朝一夕,イッチョウイッセキ
一直線,イッチョクセン
一定,イッテイ
一滴,イッテキ
一転,イッテン
一転機,イッテンキ
一点張り,イッテンバリ
イット,イット
一途,イット
一刀,イットウ
一等,イットウ
一泊,イッパク
一髪,イッパツ
一般,イッパン
一筆,イッピツ
一風,イップウ
一ぷく,イップク
一服,イップク
一変,イッペン
一片,イッペン
一方,イッポウ
一本槍,イッポンヤリ
いつ,イツ
いつか,イツカ
五つ,イツツ
いつの,イツノ
逸話,イツワ
移転,イテン
遺伝,イデン
遺徳,イトク
いとこ,イトコ
井戸,イド
居所,イドコロ
以内,イナイ
田舎,イナカ
田舎道,イナカミチ
因幡,イナバ
否や,イナヤ
犬死,イヌジニ
犬山,イヌヤマ
いね,イネ
いのこ,イノコ
いのち,イノチ
祈り,イノリ
位牌,イハイ
遺髪,イハツ
遺品,イヒン
いふ,イフ
胃袋,イブクロ
遺物,イブツ
異分子,イブンシ
いま,イマ
居間,イマ
今一,イマイチ
今川,イマガワ
今頃,イマゴロ
今更,イマサラ
今しがた,イマシガタ
戒め,イマシメ
今時分,イマジブン
今一つ,イマヒトツ
いまわ,イマワ
意味,イミ
いも,イモ
イヤ,イヤ
否応,イヤオウ
畏友,イユウ
いよ,イヨ
異様,イヨウ
以来,イライ
入り,イリ
入口,イリグチ
衣類,イルイ
入れ,イレ
入れ歯,イレバ
入歯,イレバ
いろいろ,イロイロ
色々,イロイロ
慰労,イロウ
色男,イロオトコ
色気,イロケ
色眼鏡,イロメガネ
曰く,イワク
岩畳,イワダタミ
イン,イン
陰鬱,インウツ
陰影,インエイ
陰火,インカ
印画,インガ
因果,インガ
因果応報,インガオウホウ
インキ,インキ
陰気,インキ
いんぎん,インギン
慇懃,インギン
隠元,インゲン
咽喉,インコウ
陰刻,インコク
隠語,インゴ
印刷,インサツ
陰惨,インサン
飲酒,インシュ
因襲,インシュウ
印象,インショウ
インスピレーション,インスピレーション
姻戚,インセキ
引退,インタイ
インタロゲーションマーク,インタロゲーションマーク
インターネット,インターネット
インチキ,インチキ
院長,インチョウ
いんとう,イントウ
咽頭,イントウ
淫蕩,イントウ
隠遁,イントン
インド,インド
印度,インド
引導,インドウ
隠忍,インニン
因縁,インネン
隠蔽,インペイ
陰陽,インヨウ
引例,インレイ
ウイスキー,ウイスキー
ウインド,ウインド
うえ,ウエ
上杉,ウエスギ
上と下,ウエトシタ
上の,ウエノ
伺い,ウカガイ
うかつ,ウカツ
浮き,ウキ
浮き浮き,ウキウキ
憂身,ウキミ
浮世,ウキヨ
受け,ウケ
受売り,ウケウリ
受け答え,ウケコタエ
受取,ウケトリ
受持,ウケモチ
動き,ウゴキ
うさ,ウサ
うし,ウシ
後影,ウシロカゲ
うしろ姿,ウシロスガタ
後姿,ウシロスガタ
後鉢巻,ウシロハチマキ
うじ,ウジ
宇治,ウジ
氏素性,ウジスジョウ
蛆虫,ウジムシ
薄毛,ウスゲ
うず,ウズ
渦巻,ウズマキ
渦巻き,ウズマキ
うそ,ウソ
ウソ,ウソ
嘘八百,ウソハッピャク
うた,ウタ
疑い,ウタガイ
うち,ウチ
打ち,ウチ
内側,ウチガワ
内気,ウチキ
打紐,ウチヒモ
内幕,ウチマク
宇宙,ウチュウ
有頂天,ウチョウテン
うちわ,ウチワ
内輪,ウチワ
うっかり,ウッカリ
うっけつ,ウッケツ
鬱血,ウッケツ
鬱積,ウッセキ
写し,ウツシ
うつつ,ウツツ
移り,ウツリ
うつろ,ウツロ
腕立て,ウデタテ
腕試し,ウデダメシ
腕時計,ウデドケイ
腕前,ウデマエ
腕まくり,ウデマクリ
うなぎ,ウナギ
うなばら,ウナバラ
海原,ウナバラ
唸り,ウナリ
ウニ,ウニ
うねり,ウネリ
うの,ウノ
うぶ,ウブ
うま,ウマ
生れ,ウマレ
生み,ウミ
海千山千,ウミセンヤマセン
有無,ウム
有耶無耶,ウヤムヤ
羽翼,ウヨク
ウラ,ウラ
裏打ち,ウラウチ
裏表,ウラオモテ
裏返し,ウラガエシ
裏書,ウラガキ
裏口,ウラグチ
裏手,ウラテ
占い,ウラナイ
裏庭,ウラニワ
うらみ,ウラミ
怨み,ウラミ
浦山,ウラヤマ
うり,ウリ
ウル,ウル
うろ,ウロ
うろこ,ウロコ
浮気,ウワキ
上衣,ウワギ
上靴,ウワグツ
譫言,ウワゴト
上塗,ウワヌリ
蟒蛇,ウワバミ
うわべ,ウワベ
ウン,ウン
雲烟,ウンエン
うんか,ウンカ
雲霞,ウンカ
運行,ウンコウ
うんじょう,ウンジョウ
雲上,ウンジョウ
運動,ウンドウ
云々,ウンヌン
運命,ウンメイ
えい,エイ
酔ひ,エイ
永遠,エイエン
映画,エイガ
栄華,エイガ
永久,エイキュウ
影響,エイキョウ
英国,エイコク
英語,エイゴ
永劫,エイゴウ
映写,エイシャ
映写機,エイシャキ
嬰児,エイジ
永世,エイセイ
衛生,エイセイ
映像,エイゾウ
永続,エイゾク
永年,エイネン
鋭敏,エイビン
永眠,エイミン
英雄,エイユウ
営養,エイヨウ
栄耀,エイヨウ
栄養,エイヨウ
栄耀栄華,エイヨウエイガ
鋭利,エイリ
英和,エイワ
えがお,エガオ
笑顔,エガオ
エキス,エキス
液体,エキタイ
駅前,エキマエ
えさ,エサ
会釈,エシャク
餌食,エジキ
エジプト,エジプト
埃及,エジプト
絵姿,エスガタ
絵像,エゾウ
エッセンス,エッセンス
えつ,エツ
得手,エテ
江戸,エド
えな,エナ
エナメル,エナメル
エネルギー,エネルギー
絵の具,エノグ
絵具,エノグ
えび,エビ
えびす,エビス
海老茶,エビチャ
絵筆,エフデ
エプロン,エプロン
エホバ,エホバ
絵巻,エマキ
絵巻物,エマキモノ
えみ,エミ
得物,エモノ
獲物,エモノ
衛門,エモン
衣紋,エモン
えり,エリ
襟髪,エリガミ
襟巻,エリマキ
エロ,エロ
エロチシズム,エロチシズム
エロチック,エロチック
えん,エン
蜿蜒,エンエン
えんか,エンカ
嚥下,エンカ
宴会,エンカイ
縁側,エンガワ
遠距離,エンキョリ
遠近,エンキン
延喜,エンギ
縁起,エンギ
縁組,エングミ
円型,エンケイ
縁故,エンコ
冤罪,エンザイ
演出,エンシュツ
延焼,エンショウ
臙脂,エンジ
援助,エンジョ
厭人,エンジン
延髄,エンズイ
演説,エンゼツ
宛然,エンゼン
淵叢,エンソウ
円筒,エントウ
煙突,エントツ
縁日,エンニチ
役行者,エンノギョウジャ
塩分,エンブン
縁辺,エンペン
遠方,エンポウ
円満,エンマン
遠慮,エンリョ
遠路,エンロ
エース,エース
お預け,オアヅケ
おい,オイ
お家,オイエ
御家,オイエ
老い先,オイサキ
おいで,オイデ
お出で,オイデ
お祝い,オイワイ
おういつ,オウイツ
横溢,オウイツ
王冠,オウカン
応急,オウキュウ
応挙,オウキョ
横行,オウコウ
黄金,オウゴン
逢坂,オウサカ
横死,オウシ
応酬,オウシュウ
おうじ,オウジ
王子,オウジ
王者,オウジャ
おうじょう,オウジョウ
往生,オウジョウ
旺盛,オウセイ
往昔,オウセキ
応接,オウセツ
応接間,オウセツマ
応戦,オウセン
殴打,オウダ
横着,オウチャク
おうと,オウト
応答,オウトウ
黄檗,オウバク
往復,オウフク
小戸,オウベ
欧米,オウベイ
往訪,オウホウ
横暴,オウボウ
おうみ,オウミ
近江,オウミ
おうむ,オウム
鸚鵡,オウム
おうよう,オウヨウ
応用,オウヨウ
往来,オウライ
大急ぎ,オオイソギ
大分,オオイタ
大入,オオイリ
大写し,オオウツシ
大男,オオオトコ
大風,オオカゼ
大方,オオカタ
大川,オオカワ
多く,オオク
おおげさ,オオゲサ
大袈裟,オオゲサ
大声,オオゴエ
大騒ぎ,オオサワギ
大空,オオゾラ
太田,オオタ
大塚,オオツカ
大手,オオテ
大音,オオト
大浪,オオナミ
大判,オオバン
大瓶,オオビン
大船,オオブネ
大振り,オオブリ
大股,オオマタ
大見得,オオミエ
大昔,オオムカシ
大持て,オオモテ
大本,オオモト
大家,オオヤ
大凡,オオヨソ
大鷲,オオワシ
大笑い,オオワライ
お母様,オカアサマ
お母さん,オカアサン
おかげ,オカゲ
お蔭,オカゲ
御蔭,オカゲ
おかし,オカシ
お菓子,オカシ
お方,オカタ
御方,オカタ
お金,オカネ
お株,オカブ
お構い,オカマイ
お上,オカミ
悪寒,オカン
おき,オキ
お気,オキ
置手紙,オキテガミ
